id,facenet_id_res,facenet_prob_res,openface_id_res,openface_prob_res,Pred_Result_id,Pred_Result_prob,Actual Result,Update Result
38,b12,0.25,b12,0.33,b12,0.33,b12,c = f<o
39,b11,0.3,b11,0.31,b11,0.31,b11,c= o-f>0.63
40,b12,0.22,b12,0.19,b12,0.22,b12,o-f<0.63
41,b12,0.22,b17,0.27,b17,0.27,b12,o-f<0.63
42,trump,0.31,trump,0.28,trump,0.31,trump,c = f>o
43,b15,0.24,lan,0.21,b15,0.24,b15,o-f<0.63
44,trump,0.18,b12,0.24,b12,0.24,b12,o-f<0.63
45,b13,0.25,b12,0.18,b13,0.25,b13,o-f<0.63
46,b16,0.54,lan,0.27,b16,0.54,b16,c = f>o
47,b15,0.31,b15,0.26,b15,0.31,b15,c = f>o
48,b12,0.33,b12,0.4,b12,0.4,b12,c= o-f>0.63
49,b13,0.38,b13,0.46,b13,0.46,b13,c= o-f>0.63
50,b12,0.28,b17,0.33,b17,0.33,b12,c = f<o
51,b17,0.28,b17,0.21,b17,0.28,b15,o-f<0.63
52,trump,0.4,trump,0.51,trump,0.51,trump,c= o-f>0.63
53,b11,0.45,b11,0.48,b11,0.48,b11,c= o-f>0.63
54,zj,0.33,zj,0.5,zj,0.5,zj,c= o-f>0.63
55,b11,0.48,b11,0.47,b11,0.48,b11,c= o-f>0.63
56,b17,0.3,b11,0.2,b17,0.3,b15,c = f>o
57,zj,0.54,zj,0.3,zj,0.54,zj,c= o-f>0.63
58,b13,0.53,b13,0.51,b13,0.53,b13,c= o-f>0.63
59,b13,0.48,b17,0.34,b13,0.48,b13,c not= o-f>0.63
60,b11,0.47,b11,0.57,b11,0.57,b11,c= o-f>0.63
61,lan,0.44,lan,0.4,lan,0.44,lan,c= o-f>0.63
62,b13,0.3,b16,0.31,b16,0.31,b13,c not= o-f>0.63
63,zj,0.41,zj,0.32,zj,0.41,zj,c= o-f>0.63
64,trump,0.5,b16,0.25,trump,0.5,trump,c = f>o
65,b16,0.54,b16,0.39,b16,0.54,b16,c= o-f>0.63
66,b11,0.42,b11,0.38,b11,0.42,b11,c= o-f>0.63
67,zj,0.43,lan,0.22,zj,0.43,zj,c = f>o
68,b12,0.63,b12,0.57,b12,0.63,b12,c= o-f>0.63
69,b17,0.6,b17,0.62,b17,0.62,b17,c= o-f>0.63
70,b16,0.57,b16,0.46,b16,0.57,b16,c= o-f>0.63
71,b16,0.56,b16,0.57,b16,0.57,b16,c= o-f>0.63
72,b17,0.21,trump,0.41,trump,0.41,trump,c = f<o
73,trump,0.53,trump,0.52,trump,0.53,trump,c= o-f>0.63
74,b17,0.55,b17,0.3,b17,0.55,b17,c= o-f>0.63
75,zj,0.47,zj,0.42,zj,0.47,zj,c= o-f>0.63
76,b12,0.52,b12,0.31,b12,0.52,b12,c= o-f>0.63
77,b13,0.35,b13,0.5,b13,0.5,b13,c= o-f>0.63
78,zj,0.35,zj,0.6,zj,0.6,zj,c= o-f>0.63
79,b15,0.45,b15,0.56,b15,0.56,b15,c= o-f>0.63
80,b15,0.41,b11,0.25,b15,0.41,b15,c = f>o
81,b16,0.51,b16,0.39,b16,0.51,b16,c= o-f>0.63
82,b12,0.56,b12,0.48,b12,0.56,b12,c= o-f>0.63
83,b13,0.49,zj,0.25,b13,0.49,b13,c = f>o
84,b17,0.3,b17,0.29,b17,0.3,b12,c = f>o
85,lan,0.23,b17,0.27,b17,0.27,lan,o-f<0.63
86,b11,0.43,b11,0.4,b11,0.43,b11,c= o-f>0.63
87,b12,0.55,b12,0.44,b12,0.55,b12,c= o-f>0.63
88,andy,0.4,b15,0.22,andy,0.4,andy,c = f>o
89,b16,0.56,b16,0.42,b16,0.56,b16,c= o-f>0.63
90,b11,0.51,b11,0.6,b11,0.6,b11,c= o-f>0.63
91,b15,0.47,b15,0.43,b15,0.47,b15,c= o-f>0.63
92,b12,0.49,b12,0.52,b12,0.52,b12,c= o-f>0.63
93,b11,0.48,b11,0.56,b11,0.56,b11,c= o-f>0.63
94,b17,0.43,b17,0.47,b17,0.47,b17,c= o-f>0.63
95,b12,0.52,b12,0.5,b12,0.52,b12,c= o-f>0.63
96,b15,0.42,b15,0.43,b15,0.43,b15,c= o-f>0.63
97,b13,0.16,lan,0.48,lan,0.48,lan,c = f<o
98,b17,0.52,b17,0.6,b17,0.6,b17,c= o-f>0.63
99,b11,0.36,b11,0.42,b11,0.42,b11,c= o-f>0.63
100,b11,0.39,b11,0.32,b11,0.39,b11,c= o-f>0.63
101,trump,0.23,lan,0.15,trump,0.23,b15,o-f<0.63
102,b13,0.24,lan,0.54,lan,0.54,lan,c = f<o
103,b17,0.27,b13,0.39,b13,0.39,b13,c = f<o
104,b15,0.57,b15,0.67,b15,0.67,b15,c= o-f>0.63
105,andy,0.26,andy,0.5,andy,0.5,andy,c = f<o
106,trump,0.49,trump,0.39,trump,0.49,trump,c= o-f>0.63
107,b13,0.5,b13,0.55,b13,0.55,b13,c= o-f>0.63
108,lan,0.45,lan,0.39,lan,0.45,lan,c= o-f>0.63
109,lan,0.25,lan,0.36,lan,0.36,lan,c = f<o
110,b16,0.73,b16,0.67,b16,0.73,b16,c= o-f>0.63
111,b11,0.68,b11,0.81,b11,0.81,b11,c= o-f>0.63
112,b13,0.54,b13,0.65,b13,0.65,b13,c= o-f>0.63
113,b17,0.27,b11,0.44,b11,0.44,b15,c = f<o
114,lan,0.4,lan,0.2,lan,0.4,lan,c = f>o
115,b17,0.66,b17,0.75,b17,0.75,b17,c= o-f>0.63
116,trump,0.69,trump,0.7,trump,0.7,trump,c= o-f>0.63
117,b11,0.62,b11,0.74,b11,0.74,b11,c= o-f>0.63
118,b11,0.69,b11,0.83,b11,0.83,b11,c= o-f>0.63
119,trump,0.66,trump,0.67,trump,0.67,trump,c= o-f>0.63
120,b16,0.57,b17,0.26,b16,0.57,b16,c = f>o
121,zj,0.75,zj,0.73,zj,0.75,zj,c= o-f>0.63
122,b17,0.64,b17,0.34,b17,0.64,b17,c= o-f>0.63
123,b13,0.63,b13,0.71,b13,0.71,b13,c= o-f>0.63
124,lan,0.61,lan,0.34,lan,0.61,lan,c= o-f>0.63
125,lan,0.39,lan,0.52,lan,0.52,lan,c= o-f>0.63
126,b17,0.23,zj,0.38,zj,0.38,lan,c = f<o
127,b15,0.6,b15,0.6,b15,0.6,b15,c= o-f>0.63
128,b11,0.51,b11,0.58,b11,0.58,b11,c= o-f>0.63
129,zj,0.49,zj,0.72,zj,0.72,zj,c= o-f>0.63
130,trump,0.67,trump,0.69,trump,0.69,trump,c= o-f>0.63
131,b17,0.63,b17,0.5,b17,0.63,b17,c= o-f>0.63
132,trump,0.62,trump,0.64,trump,0.64,trump,c= o-f>0.63
133,andy,0.46,andy,0.44,andy,0.46,andy,c= o-f>0.63
134,lan,0.53,lan,0.69,lan,0.69,lan,c= o-f>0.63
135,b15,0.63,b15,0.5,b15,0.63,b15,c= o-f>0.63
136,b13,0.63,b13,0.69,b13,0.69,b13,c= o-f>0.63
137,b12,0.52,b17,0.36,b12,0.52,b12,c not= o-f>0.63
138,b13,0.49,b13,0.56,b13,0.56,b13,c= o-f>0.63
139,b16,0.71,b16,0.68,b16,0.71,b16,c= o-f>0.63
140,b11,0.74,b11,0.7,b11,0.74,b11,c= o-f>0.63
141,lan,0.21,zj,0.32,zj,0.32,lan,c = f<o
142,b13,0.44,b13,0.65,b13,0.65,b13,c= o-f>0.63
143,b15,0.38,b15,0.4,b15,0.4,b15,c= o-f>0.63
144,trump,0.52,trump,0.31,trump,0.52,trump,c= o-f>0.63
145,b11,0.74,b11,0.8,b11,0.8,b11,c= o-f>0.63
146,b13,0.25,b16,0.37,b16,0.37,b13,c = f<o
147,b15,0.62,b15,0.65,b15,0.65,b15,c= o-f>0.63
148,lan,0.4,lan,0.72,lan,0.72,lan,c= o-f>0.63
149,lan,0.59,lan,0.18,lan,0.59,lan,c = f>o
150,b12,0.75,b12,0.75,b12,0.75,b12,c= o-f>0.63
151,b13,0.54,b13,0.33,b13,0.54,b13,c= o-f>0.63
152,b12,0.66,b12,0.46,b12,0.66,b12,c= o-f>0.63
153,zj,0.83,zj,0.4,zj,0.83,zj,c= o-f>0.63
154,trump,0.48,trump,0.83,trump,0.83,trump,c= o-f>0.63
155,zj,0.82,zj,0.63,zj,0.82,zj,c= o-f>0.63
156,zj,0.72,zj,0.32,zj,0.72,zj,c= o-f>0.63
157,b17,0.65,b17,0.51,b17,0.65,b17,c= o-f>0.63
158,trump,0.5,trump,0.62,trump,0.62,trump,c= o-f>0.63
159,lan,0.38,andy,0.28,lan,0.38,andy,c = f>o
160,b16,0.83,b16,0.78,b16,0.83,b16,c= o-f>0.63
161,b11,0.58,b11,0.59,b11,0.59,b11,c= o-f>0.63
162,andy,0.64,andy,0.24,andy,0.64,andy,c = f>o
163,b17,0.85,b17,0.72,b17,0.85,b17,c= o-f>0.63
164,b15,0.62,b15,0.75,b15,0.75,b15,c= o-f>0.63
165,b15,0.63,b15,0.39,b15,0.63,b15,c= o-f>0.63
166,b13,0.61,b13,0.31,b13,0.61,b13,c= o-f>0.63
167,trump,0.75,trump,0.74,trump,0.75,trump,c= o-f>0.63
168,b16,0.68,b16,0.78,b16,0.78,b16,c= o-f>0.63
169,b15,0.56,b16,0.25,b15,0.56,b15,c = f>o
170,andy,0.35,lan,0.45,lan,0.45,andy,c not= o-f>0.63
171,b16,0.8,b16,0.77,b16,0.8,b16,c= o-f>0.63
172,b13,0.77,b16,0.3,b13,0.77,b13,c not= o-f>0.63
173,b11,0.78,b11,0.81,b11,0.81,b11,c= o-f>0.63
174,b16,0.78,b16,0.53,b16,0.78,b16,c= o-f>0.63
175,trump,0.61,trump,0.72,trump,0.72,trump,c= o-f>0.63
176,b15,0.75,b15,0.79,b15,0.79,b15,c= o-f>0.63
177,b11,0.84,b11,0.87,b11,0.87,b11,c= o-f>0.63
178,zj,0.77,zj,0.8,zj,0.8,zj,c= o-f>0.63
179,b17,0.63,b17,0.85,b17,0.85,b17,c= o-f>0.63
180,b17,0.75,b17,0.67,b17,0.75,b17,c= o-f>0.63
181,zj,0.79,zj,0.76,zj,0.79,zj,c= o-f>0.63
182,b17,0.71,b17,0.75,b17,0.75,b17,c= o-f>0.63
183,b17,0.55,b17,0.34,b17,0.55,b12,c= o-f>0.63
184,andy,0.58,andy,0.62,andy,0.62,andy,c= o-f>0.63
185,b16,0.79,b16,0.77,b16,0.79,b16,c= o-f>0.63
186,trump,0.44,trump,0.8,trump,0.8,trump,c= o-f>0.63
187,zj,0.81,zj,0.71,zj,0.81,zj,c= o-f>0.63
188,b12,0.62,b12,0.36,b12,0.62,b12,c= o-f>0.63
189,b15,0.61,b15,0.81,b15,0.81,b15,c= o-f>0.63
190,zj,0.7,zj,0.55,zj,0.7,zj,c= o-f>0.63
191,andy,0.42,andy,0.76,andy,0.76,andy,c= o-f>0.63
192,zj,0.66,zj,0.68,zj,0.68,zj,c= o-f>0.63
193,b16,0.8,b16,0.68,b16,0.8,b16,c= o-f>0.63
194,b17,0.76,b17,0.6,b17,0.76,b17,c= o-f>0.63
195,b11,0.86,b11,0.87,b11,0.87,b11,c= o-f>0.63
196,b12,0.77,b12,0.69,b12,0.77,b12,c= o-f>0.63
197,zj,0.81,zj,0.78,zj,0.81,zj,c= o-f>0.63
198,b16,0.64,b16,0.31,b16,0.64,b16,c= o-f>0.63
199,b16,0.81,b16,0.59,b16,0.81,b16,c= o-f>0.63
200,b15,0.64,b15,0.7,b15,0.7,b15,c= o-f>0.63
201,zj,0.64,zj,0.3,zj,0.64,zj,c= o-f>0.63
202,b11,0.87,b11,0.92,b11,0.92,b11,c= o-f>0.63
203,b13,0.78,b13,0.54,b13,0.78,b13,c= o-f>0.63
204,b17,0.77,b17,0.66,b17,0.77,b17,c= o-f>0.63
205,b15,0.68,b15,0.75,b15,0.75,b15,c= o-f>0.63
206,b16,0.72,b16,0.2,b16,0.72,b16,c = f>o
207,andy,0.57,lan,0.32,andy,0.57,andy,c not= o-f>0.63
208,trump,0.51,trump,0.88,trump,0.88,trump,c= o-f>0.63
209,trump,0.36,trump,0.83,trump,0.83,trump,c= o-f>0.63
210,b15,0.72,b15,0.27,b15,0.72,b15,c = f>o
211,trump,0.78,trump,0.88,trump,0.88,trump,c= o-f>0.63
212,b16,0.58,b16,0.34,b16,0.58,b16,c= o-f>0.63
213,b17,0.8,b17,0.76,b17,0.8,b17,c= o-f>0.63
214,trump,0.77,trump,0.57,trump,0.77,trump,c= o-f>0.63
215,b13,0.54,b13,0.75,b13,0.75,b13,c= o-f>0.63
216,b17,0.75,b17,0.83,b17,0.83,b17,c= o-f>0.63
217,b15,0.36,b16,0.44,b16,0.44,b15,c not= o-f>0.63
218,zj,0.9,zj,0.72,zj,0.9,zj,c= o-f>0.63
219,b16,0.82,b16,0.5,b16,0.82,b16,c= o-f>0.63
220,b17,0.84,b17,0.74,b17,0.84,b17,c= o-f>0.63
221,b16,0.76,b16,0.7,b16,0.76,b16,c= o-f>0.63
222,trump,0.77,trump,0.89,trump,0.89,trump,c= o-f>0.63
223,b17,0.87,b17,0.73,b17,0.87,b17,c= o-f>0.63
224,b17,0.72,b17,0.78,b17,0.78,b17,c= o-f>0.63
225,andy,0.68,andy,0.63,andy,0.68,andy,c= o-f>0.63
226,b17,0.46,b17,0.63,b17,0.63,b12,c= o-f>0.63
227,b12,0.71,b12,0.6,b12,0.71,b12,c= o-f>0.63
228,b13,0.76,b13,0.8,b13,0.8,b13,c= o-f>0.63
229,trump,0.73,trump,0.78,trump,0.78,trump,c= o-f>0.63
230,lan,0.8,lan,0.81,lan,0.81,lan,c= o-f>0.63
231,b11,0.77,b11,0.92,b11,0.92,b11,c= o-f>0.63
232,lan,0.65,lan,0.71,lan,0.71,lan,c= o-f>0.63
233,b17,0.74,b17,0.77,b17,0.77,b17,c= o-f>0.63
234,b13,0.73,b17,0.41,b13,0.73,b13,c not= o-f>0.63
235,b16,0.84,b16,0.36,b16,0.84,b16,c= o-f>0.63
236,b17,0.87,b17,0.7,b17,0.87,b17,c= o-f>0.63
237,b12,0.83,b12,0.73,b12,0.83,b12,c= o-f>0.63
238,lan,0.74,trump,0.23,lan,0.74,lan,c = f>o
239,b13,0.79,b13,0.73,b13,0.79,b13,c= o-f>0.63
240,trump,0.78,trump,0.48,trump,0.78,trump,c= o-f>0.63
241,b16,0.77,b16,0.78,b16,0.78,b16,c= o-f>0.63
242,b13,0.72,b13,0.47,b13,0.72,b13,c= o-f>0.63
243,zj,0.94,zj,0.72,zj,0.94,zj,c= o-f>0.63
244,b17,0.66,b17,0.68,b17,0.68,b17,c= o-f>0.63
245,b12,0.78,b12,0.63,b12,0.78,b12,c= o-f>0.63
246,b16,0.86,b16,0.8,b16,0.86,b16,c= o-f>0.63
247,b12,0.78,b12,0.36,b12,0.78,b12,c= o-f>0.63
248,b15,0.44,b17,0.39,b15,0.44,b15,c not= o-f>0.63
249,b11,0.8,b11,0.85,b11,0.85,b11,c= o-f>0.63
250,b11,0.82,b11,0.87,b11,0.87,b11,c= o-f>0.63
251,b15,0.87,b15,0.82,b15,0.87,b15,c= o-f>0.63
252,b17,0.66,b17,0.89,b17,0.89,b17,c= o-f>0.63
253,b15,0.58,b15,0.7,b15,0.7,b15,c= o-f>0.63
254,b11,0.71,b17,0.35,b11,0.71,b11,c not= o-f>0.63
255,b12,0.86,b12,0.79,b12,0.86,b12,c= o-f>0.63
256,b15,0.75,b15,0.89,b15,0.89,b15,c= o-f>0.63
257,b17,0.86,b17,0.77,b17,0.86,b17,c= o-f>0.63
258,b17,0.9,b17,0.87,b17,0.9,b17,c= o-f>0.63
259,lan,0.42,lan,0.51,lan,0.51,lan,c= o-f>0.63
260,b12,0.78,b17,0.41,b12,0.78,b12,c not= o-f>0.63
261,b17,0.82,zj,0.44,b17,0.82,b17,c not= o-f>0.63
262,b12,0.82,b12,0.76,b12,0.82,b12,c= o-f>0.63
263,b13,0.43,andy,0.41,b13,0.43,zj,c not= o-f>0.63
264,b15,0.82,trump,0.45,b15,0.82,b15,c not= o-f>0.63
265,lan,0.29,andy,0.26,lan,0.29,andy,o-f<0.63
266,b16,0.85,b16,0.84,b16,0.85,b16,c= o-f>0.63
267,b16,0.88,b16,0.55,b16,0.88,b16,c= o-f>0.63
268,trump,0.85,trump,0.94,trump,0.94,trump,c= o-f>0.63
269,trump,0.85,trump,0.66,trump,0.85,trump,c= o-f>0.63
270,trump,0.52,trump,0.64,trump,0.64,trump,c= o-f>0.63
271,trump,0.57,trump,0.65,trump,0.65,trump,c= o-f>0.63
272,b12,0.62,b17,0.47,b12,0.62,b12,c not= o-f>0.63
273,b13,0.85,b13,0.79,b13,0.85,b13,c= o-f>0.63
274,b17,0.91,b17,0.91,b17,0.91,b17,c= o-f>0.63
275,trump,0.83,trump,0.77,trump,0.83,trump,c= o-f>0.63
276,b15,0.8,b15,0.88,b15,0.88,b15,c= o-f>0.63
277,b11,0.85,b11,0.73,b11,0.85,b11,c= o-f>0.63
278,b12,0.73,b17,0.46,b12,0.73,b12,c not= o-f>0.63
279,trump,0.64,trump,0.55,trump,0.64,trump,c= o-f>0.63
280,b16,0.84,b16,0.8,b16,0.84,b16,c= o-f>0.63
281,b11,0.65,b11,0.63,b11,0.65,b11,c= o-f>0.63
282,b11,0.88,b11,0.81,b11,0.88,b11,c= o-f>0.63
283,lan,0.75,trump,0.42,lan,0.75,lan,c not= o-f>0.63
284,b15,0.72,b15,0.88,b15,0.88,b15,c= o-f>0.63
285,b16,0.92,b16,0.78,b16,0.92,b16,c= o-f>0.63
286,b17,0.76,b17,0.58,b17,0.76,b17,c= o-f>0.63
287,b15,0.78,b15,0.41,b15,0.78,b15,c= o-f>0.63
288,zj,0.77,zj,0.94,zj,0.94,zj,c= o-f>0.63
289,b11,0.85,b11,0.79,b11,0.85,b11,c= o-f>0.63
290,b17,0.83,b17,0.73,b17,0.83,b17,c= o-f>0.63
291,b17,0.33,b15,0.27,b17,0.33,b15,c = f>o
292,lan,0.61,lan,0.89,lan,0.89,lan,c= o-f>0.63
293,b12,0.84,b12,0.82,b12,0.84,b12,c= o-f>0.63
294,b17,0.85,b17,0.77,b17,0.85,b17,c= o-f>0.63
295,trump,0.8,trump,0.92,trump,0.92,trump,c= o-f>0.63
296,trump,0.77,trump,0.85,trump,0.85,trump,c= o-f>0.63
297,lan,0.72,zj,0.36,lan,0.72,lan,c not= o-f>0.63
298,lan,0.49,lan,0.57,lan,0.57,lan,c= o-f>0.63
299,zj,0.85,zj,0.45,zj,0.85,zj,c= o-f>0.63
300,b16,0.85,b16,0.88,b16,0.88,b16,c= o-f>0.63
301,b11,0.89,b11,0.92,b11,0.92,b11,c= o-f>0.63
302,b12,0.85,b12,0.89,b12,0.89,b12,c= o-f>0.63
303,b15,0.21,b15,0.42,b15,0.42,b15,c = f<o
304,andy,0.58,lan,0.29,andy,0.58,andy,c = f>o
305,b16,0.37,b16,0.38,b16,0.38,b16,c= o-f>0.63
306,trump,0.71,trump,0.86,trump,0.86,trump,c= o-f>0.63
307,zj,0.9,zj,0.49,zj,0.9,zj,c= o-f>0.63
308,lan,0.77,lan,0.58,lan,0.77,lan,c= o-f>0.63
309,b17,0.73,b16,0.32,b17,0.73,b17,c not= o-f>0.63
310,b11,0.53,b17,0.5,b11,0.53,b11,c not= o-f>0.63
311,b12,0.71,b17,0.48,b12,0.71,b12,c not= o-f>0.63
312,b16,0.91,b16,0.84,b16,0.91,b16,c= o-f>0.63
313,b16,0.44,b16,0.5,b16,0.5,b16,c= o-f>0.63
314,b13,0.88,b13,0.85,b13,0.88,b13,c= o-f>0.63
315,trump,0.83,trump,0.91,trump,0.91,trump,c= o-f>0.63
316,b17,0.85,b17,0.9,b17,0.9,b17,c= o-f>0.63
317,trump,0.79,b15,0.3,trump,0.79,trump,c not= o-f>0.63
318,b12,0.87,b12,0.83,b12,0.87,b12,c= o-f>0.63
319,b13,0.77,b16,0.36,b13,0.77,b13,c not= o-f>0.63
320,b16,0.91,b16,0.87,b16,0.91,b16,c= o-f>0.63
321,b17,0.84,b17,0.86,b17,0.86,b17,c= o-f>0.63
322,b11,0.38,b11,0.79,b11,0.79,b11,c= o-f>0.63
323,trump,0.66,trump,0.87,trump,0.87,trump,c= o-f>0.63
324,b12,0.86,b12,0.85,b12,0.86,b12,c= o-f>0.63
325,b16,0.91,b16,0.73,b16,0.91,b16,c= o-f>0.63
326,lan,0.7,b16,0.32,lan,0.7,lan,c not= o-f>0.63
327,trump,0.73,trump,0.74,trump,0.74,trump,c= o-f>0.63
328,lan,0.59,lan,0.85,lan,0.85,lan,c= o-f>0.63
329,b13,0.86,b13,0.82,b13,0.86,b13,c= o-f>0.63
330,b16,0.87,b16,0.86,b16,0.87,b16,c= o-f>0.63
331,andy,0.78,lan,0.49,andy,0.78,andy,c not= o-f>0.63
332,b15,0.84,b15,0.91,b15,0.91,b15,c= o-f>0.63
333,trump,0.76,trump,0.87,trump,0.87,trump,c= o-f>0.63
334,b11,0.66,b11,0.76,b11,0.76,b11,c= o-f>0.63
335,andy,0.72,b16,0.31,andy,0.72,andy,c not= o-f>0.63
336,b12,0.8,b12,0.76,b12,0.8,b12,c= o-f>0.63
337,b11,0.84,b11,0.73,b11,0.84,b11,c= o-f>0.63
338,b17,0.81,b17,0.63,b17,0.81,b17,c= o-f>0.63
339,b12,0.37,b17,0.7,b17,0.7,b12,c not= o-f>0.63
340,b12,0.8,b12,0.8,b12,0.8,b12,c= o-f>0.63
341,zj,0.9,zj,0.83,zj,0.9,zj,c= o-f>0.63
342,b12,0.84,b12,0.81,b12,0.84,b12,c= o-f>0.63
343,b13,0.82,b13,0.77,b13,0.82,b13,c= o-f>0.63
344,andy,0.66,andy,0.44,andy,0.66,andy,c= o-f>0.63
345,b17,0.81,b17,0.57,b17,0.81,b17,c= o-f>0.63
346,b12,0.83,b12,0.64,b12,0.83,b12,c= o-f>0.63
347,b15,0.86,b15,0.62,b15,0.86,b15,c= o-f>0.63
348,zj,0.91,zj,0.94,zj,0.94,zj,c= o-f>0.63
349,b15,0.77,b15,0.63,b15,0.77,b15,c= o-f>0.63
350,andy,0.32,b17,0.56,b17,0.56,andy,c not= o-f>0.63
351,trump,0.85,b16,0.41,trump,0.85,trump,c not= o-f>0.63
352,lan,0.82,lan,0.62,lan,0.82,lan,c= o-f>0.63
353,b16,0.39,b17,0.44,b17,0.44,b15,c not= o-f>0.63
354,lan,0.78,lan,0.74,lan,0.78,lan,c= o-f>0.63
355,b13,0.87,b13,0.73,b13,0.87,b13,c= o-f>0.63
356,trump,0.75,trump,0.7,trump,0.75,trump,c= o-f>0.63
357,trump,0.88,trump,0.93,trump,0.93,trump,c= o-f>0.63
358,b16,0.89,zj,0.41,b16,0.89,b16,c not= o-f>0.63
359,b17,0.78,b17,0.88,b17,0.88,b17,c= o-f>0.63
360,b17,0.9,b17,0.9,b17,0.9,b17,c= o-f>0.63
361,b12,0.92,b12,0.87,b12,0.92,b12,c= o-f>0.63
362,b13,0.9,b13,0.9,b13,0.9,b13,c= o-f>0.63
363,b12,0.87,b12,0.57,b12,0.87,b12,c= o-f>0.63
364,b11,0.91,b11,0.95,b11,0.95,b11,c= o-f>0.63
365,trump,0.45,trump,0.91,trump,0.91,trump,c= o-f>0.63
366,zj,0.94,zj,0.93,zj,0.94,zj,c= o-f>0.63
367,b15,0.84,b15,0.9,b15,0.9,b15,c= o-f>0.63
368,b16,0.87,b16,0.88,b16,0.88,b16,c= o-f>0.63
369,b17,0.93,b17,0.9,b17,0.93,b17,c= o-f>0.63
370,b13,0.9,b13,0.83,b13,0.9,b13,c= o-f>0.63
371,b13,0.85,b13,0.73,b13,0.85,b13,c= o-f>0.63
372,b13,0.85,b13,0.81,b13,0.85,b13,c= o-f>0.63
373,b17,0.91,b17,0.55,b17,0.91,b17,c= o-f>0.63
374,lan,0.76,lan,0.71,lan,0.76,lan,c= o-f>0.63
375,b13,0.86,b13,0.87,b13,0.87,b13,c= o-f>0.63
376,b15,0.74,b15,0.71,b15,0.74,b15,c= o-f>0.63
377,trump,0.8,trump,0.93,trump,0.93,trump,c= o-f>0.63
378,b15,0.87,b15,0.92,b15,0.92,b15,c= o-f>0.63
379,b12,0.49,b12,0.37,b12,0.49,b12,c= o-f>0.63
380,zj,0.8,zj,0.86,zj,0.86,zj,c= o-f>0.63
381,lan,0.82,lan,0.76,lan,0.82,lan,c= o-f>0.63
382,b16,0.9,b16,0.83,b16,0.9,b16,c= o-f>0.63
383,b11,0.78,b17,0.38,b11,0.78,b11,c not= o-f>0.63
384,b12,0.83,b12,0.77,b12,0.83,b12,c= o-f>0.63
385,b16,0.92,b16,0.9,b16,0.92,b16,c= o-f>0.63
386,b12,0.88,b17,0.37,b12,0.88,b12,c not= o-f>0.63
387,b17,0.89,b17,0.86,b17,0.89,b17,c= o-f>0.63
388,b15,0.88,b15,0.86,b15,0.88,b15,c= o-f>0.63
389,andy,0.53,andy,0.68,andy,0.68,andy,c= o-f>0.63
390,b13,0.81,b16,0.29,b13,0.81,b13,c = f>o
