id,facenet_id_res,facenet_prob_res,openface_id_res,openface_prob_res,Pred_Result_id,Pred_Result_prob,Actual Result,Update Result
97,b19,0.21,b19,0.95,b19,0.21,b19,c= o-f>0.63
98,b25,0.53,b25,0.93,b25,0.53,b25,c= o-f>0.63
99,b21,0.13,b26,0.21,b21,0.13,b21,o-f<0.63
100,b25,0.29,b25,0.92,b25,0.29,b25,c= o-f>0.63
101,b17,0.32,b17,0.55,b17,0.32,b17,c= o-f>0.63
102,b18,0.32,b18,0.59,b18,0.32,b18,c= o-f>0.63
103,b20,0.16,b20,0.44,b20,0.16,b20,c= o-f>0.63
104,b17,0.19,b24,0.4,b17,0.19,b17,c= o-f>0.63
105,b25,0.14,b12,0.33,b25,0.14,b18,o-f<0.63
106,b16,0.32,b16,0.96,b16,0.32,b16,c= o-f>0.63
107,b22,0.32,b22,0.75,b22,0.32,b22,c= o-f>0.63
108,b19,0.24,b17,0.51,b19,0.24,b19,c= o-f>0.63
109,b12,0.25,b12,0.93,b12,0.25,b12,c= o-f>0.63
110,trump,0.26,trump,0.6,trump,0.26,trump,c= o-f>0.63
111,b17,0.47,b17,0.68,b17,0.47,b17,c= o-f>0.63
112,b22,0.38,b22,0.98,b22,0.38,b22,c= o-f>0.63
113,b23,0.53,b23,0.86,b23,0.53,b23,c= o-f>0.63
114,b11,0.4,b11,0.96,b11,0.4,b11,c= o-f>0.63
115,b21,0.13,b21,0.6,b21,0.13,b21,o-f<0.63
116,trump,0.3,trump,0.98,trump,0.3,trump,c= o-f>0.63
117,andy,0.23,lan,0.92,andy,0.23,lan,c= o-f>0.63
118,b22,0.44,b22,0.96,b22,0.44,b22,c= o-f>0.63
119,b11,0.41,b11,0.99,b11,0.41,b11,c= o-f>0.63
120,b26,0.35,b25,0.21,b26,0.35,b26,c= o-f>0.63
121,b12,0.24,b12,0.82,b12,0.24,b12,c= o-f>0.63
122,b12,0.27,b18,0.36,b12,0.27,b12,c= o-f>0.63
123,b23,0.66,b23,0.84,b23,0.66,b23,c= o-f>0.63
124,b26,0.37,b26,0.5,b26,0.37,b26,c= o-f>0.63
125,b26,0.28,b26,0.33,b26,0.28,b26,c= o-f>0.63
126,zj,0.22,lan,0.45,zj,0.22,zj,c= o-f>0.63
127,b20,0.19,b20,0.91,b20,0.19,b20,c= o-f>0.63
128,trump,0.39,trump,0.98,trump,0.39,trump,c= o-f>0.63
129,b11,0.39,b11,0.94,b11,0.39,b11,c= o-f>0.63
130,b15,0.36,b15,0.94,b15,0.36,b15,c= o-f>0.63
131,b11,0.43,b11,0.99,b11,0.43,b11,c= o-f>0.63
132,b18,0.25,b18,0.7,b18,0.25,b18,c= o-f>0.63
133,b25,0.46,b25,0.68,b25,0.46,b25,c= o-f>0.63
134,b20,0.28,b20,0.92,b20,0.28,b20,c= o-f>0.63
135,b11,0.31,b11,0.98,b11,0.31,b11,c= o-f>0.63
136,b22,0.15,b27,0.34,b22,0.15,b15,c= o-f>0.63
137,b22,0.5,b22,0.96,b22,0.5,b22,c= o-f>0.63
138,b23,0.12,b26,0.45,b23,0.12,b23,o-f<0.63
139,b20,0.18,b25,0.27,b20,0.18,b20,c= o-f>0.63
140,b27,0.25,b27,0.64,b27,0.25,b27,c= o-f>0.63
141,b17,0.5,b18,0.72,b17,0.5,b17,c= o-f>0.63
142,b19,0.13,b18,0.73,b19,0.13,b18,o-f<0.63
143,b12,0.3,b12,0.93,b12,0.3,b12,c= o-f>0.63
144,b11,0.36,b11,0.93,b11,0.36,b11,c= o-f>0.63
145,b13,0.32,b13,0.32,b13,0.32,b13,c= o-f>0.63
146,b20,0.28,b20,0.96,b20,0.28,b20,c= o-f>0.63
147,b17,0.49,b17,0.99,b17,0.49,b17,c= o-f>0.63
148,b25,0.62,b25,0.89,b25,0.62,b25,c= o-f>0.63
149,b17,0.16,b12,0.64,b17,0.16,b12,c= o-f>0.63
150,zj,0.38,zj,0.98,zj,0.38,zj,c= o-f>0.63
151,b13,0.2,b13,0.92,b13,0.2,b13,c= o-f>0.63
152,zj,0.58,zj,0.95,zj,0.58,zj,c= o-f>0.63
153,trump,0.24,trump,0.94,trump,0.24,trump,c= o-f>0.63
154,b20,0.18,b20,0.58,b20,0.18,b20,c= o-f>0.63
155,b27,0.25,b27,0.4,b27,0.25,b27,c= o-f>0.63
156,b25,0.37,b25,0.75,b25,0.37,b25,c= o-f>0.63
157,b16,0.29,b16,0.62,b16,0.29,b16,c= o-f>0.63
158,b18,0.33,b18,0.8,b18,0.33,b18,c= o-f>0.63
159,andy,0.19,b16,0.31,andy,0.19,b13,c= o-f>0.63
160,b15,0.15,b15,0.87,b15,0.15,b15,c= o-f>0.63
161,zj,0.12,b26,0.27,zj,0.12,b21,o-f<0.63
162,b19,0.26,b19,0.66,b19,0.26,b19,c= o-f>0.63
163,b18,0.5,b18,0.8,b18,0.5,b18,c= o-f>0.63
164,zj,0.45,zj,0.85,zj,0.45,zj,c= o-f>0.63
165,andy,0.29,andy,0.59,andy,0.29,andy,c= o-f>0.63
166,b15,0.16,b15,0.59,b15,0.16,b15,c= o-f>0.63
167,andy,0.36,lan,0.27,andy,0.36,andy,c= o-f>0.63
168,zj,0.3,zj,0.95,zj,0.3,zj,c= o-f>0.63
169,andy,0.18,lan,0.92,andy,0.18,lan,c= o-f>0.63
170,b17,0.31,b18,0.63,b17,0.31,b17,c= o-f>0.63
171,b17,0.54,b17,0.75,b17,0.54,b17,c= o-f>0.63
172,b18,0.23,b18,0.94,b18,0.23,b18,c= o-f>0.63
173,b16,0.28,b20,0.69,b16,0.28,b16,c= o-f>0.63
174,b22,0.2,b13,0.77,b22,0.2,b13,c= o-f>0.63
175,b20,0.11,b21,0.45,b20,0.11,b21,o-f<0.63
176,b25,0.59,b25,0.92,b25,0.59,b25,c= o-f>0.63
177,b21,0.24,b21,0.86,b21,0.24,b21,c= o-f>0.63
178,b16,0.15,b19,0.5,b16,0.15,b16,c= o-f>0.63
179,b15,0.32,b15,0.65,b15,0.32,b15,c= o-f>0.63
180,b27,0.3,zj,0.47,b27,0.3,b27,c= o-f>0.63
181,b22,0.21,b19,0.28,b22,0.21,b13,c= o-f>0.63
182,b24,0.12,b24,0.73,b24,0.12,b24,o-f<0.63
183,b26,0.53,b26,0.95,b26,0.53,b26,c= o-f>0.63
184,trump,0.29,trump,0.91,trump,0.29,trump,c= o-f>0.63
185,zj,0.64,zj,0.97,zj,0.64,zj,c= o-f>0.63
186,b27,0.43,b27,0.95,b27,0.43,b27,c= o-f>0.63
187,b17,0.38,b18,0.44,b17,0.38,b17,c= o-f>0.63
188,b26,0.54,b26,0.83,b26,0.54,b26,c= o-f>0.63
189,andy,0.36,lan,0.43,andy,0.36,lan,c= o-f>0.63
190,b20,0.36,b20,0.91,b20,0.36,b20,c= o-f>0.63
191,b22,0.52,b22,0.97,b22,0.52,b22,c= o-f>0.63
192,b27,0.44,b27,0.95,b27,0.44,b27,c= o-f>0.63
193,b16,0.23,b16,0.82,b16,0.23,b16,c= o-f>0.63
194,b24,0.21,b24,0.87,b24,0.21,b24,c= o-f>0.63
195,b22,0.41,b15,0.49,b22,0.41,b15,c= o-f>0.63
196,b23,0.19,b19,0.32,b23,0.19,b23,c= o-f>0.63
197,b22,0.3,b16,0.68,b22,0.3,b20,c= o-f>0.63
198,b25,0.21,b25,0.28,b25,0.21,b12,c= o-f>0.63
199,zj,0.16,b26,0.19,zj,0.16,b27,c= o-f>0.63
200,b23,0.31,b11,0.6,b23,0.31,b23,c= o-f>0.63
201,b26,0.26,b15,0.79,b26,0.26,b26,c= o-f>0.63
202,b19,0.16,b21,0.75,b19,0.16,b21,c= o-f>0.63
203,b12,0.24,b12,0.86,b12,0.24,b12,c= o-f>0.63
204,b11,0.6,b11,0.98,b11,0.6,b11,c= o-f>0.63
205,b16,0.52,b16,0.88,b16,0.52,b16,c= o-f>0.63
206,b16,0.2,b17,0.22,b16,0.2,b26,c= o-f>0.63
207,b24,0.35,b24,0.47,b24,0.35,b24,c= o-f>0.63
208,b17,0.56,b18,0.82,b17,0.56,b17,c= o-f>0.63
209,b12,0.29,b12,0.88,b12,0.29,b12,c= o-f>0.63
210,b19,0.35,b19,0.97,b19,0.35,b19,c= o-f>0.63
211,b15,0.17,b15,0.72,b15,0.17,b15,c= o-f>0.63
212,b22,0.34,b15,0.93,b22,0.34,b15,c= o-f>0.63
213,b19,0.49,b19,0.94,b19,0.49,b19,c= o-f>0.63
214,b11,0.58,b11,0.82,b11,0.58,b11,c= o-f>0.63
215,b19,0.51,b19,0.97,b19,0.51,b19,c= o-f>0.63
216,b25,0.26,b25,0.75,b25,0.26,b25,c= o-f>0.63
217,b24,0.39,b24,0.91,b24,0.39,b24,c= o-f>0.63
218,zj,0.4,zj,0.62,zj,0.4,zj,c= o-f>0.63
219,b21,0.31,b21,0.94,b21,0.31,b21,c= o-f>0.63
220,b15,0.5,b15,0.95,b15,0.5,b15,c= o-f>0.63
221,b20,0.13,b16,0.36,b20,0.13,b20,o-f<0.63
222,b22,0.61,b22,0.97,b22,0.61,b22,c= o-f>0.63
223,b27,0.47,b27,0.92,b27,0.47,b27,c= o-f>0.63
224,b12,0.51,b12,0.92,b12,0.51,b12,c= o-f>0.63
225,b13,0.46,b13,0.6,b13,0.46,b13,c= o-f>0.63
226,b12,0.48,b12,0.91,b12,0.48,b12,c= o-f>0.63
227,b26,0.32,b26,0.81,b26,0.32,b26,c= o-f>0.63
228,b11,0.55,b11,0.98,b11,0.55,b11,c= o-f>0.63
229,b11,0.48,b11,0.97,b11,0.48,b11,c= o-f>0.63
230,b22,0.48,b22,0.78,b22,0.48,b22,c= o-f>0.63
231,zj,0.49,zj,0.98,zj,0.49,zj,c= o-f>0.63
232,andy,0.46,b13,0.51,andy,0.46,andy,c= o-f>0.63
233,b15,0.52,b15,0.99,b15,0.52,b15,c= o-f>0.63
234,b25,0.69,b25,0.91,b25,0.69,b25,c= o-f>0.63
235,b26,0.36,b18,0.44,b26,0.36,b26,c= o-f>0.63
236,b22,0.47,b11,0.87,b22,0.47,b11,c= o-f>0.63
237,b11,0.62,b11,0.74,b11,0.62,b11,c= o-f>0.63
238,b15,0.5,b15,0.78,b15,0.5,b15,c= o-f>0.63
239,andy,0.24,lan,0.59,andy,0.24,andy,o-f<0.63
240,b26,0.33,b18,0.62,b26,0.33,b26,c= o-f>0.63
241,zj,0.19,b26,0.33,zj,0.19,trump,o-f<0.63
242,b15,0.73,b15,0.98,b15,0.73,b15,c= o-f>0.63
243,b27,0.48,b27,0.97,b27,0.48,b27,c= o-f>0.63
244,b24,0.32,b24,0.68,b24,0.32,b24,c= o-f>0.63
245,b22,0.16,b19,0.27,b22,0.16,b19,o-f<0.63
246,b12,0.38,b24,0.31,b12,0.38,b12,c= o-f>0.63
247,zj,0.43,zj,0.54,zj,0.43,zj,c= o-f>0.63
248,b16,0.52,b16,0.73,b16,0.52,b16,c= o-f>0.63
249,b18,0.2,b15,0.3,b18,0.2,b18,o-f<0.63
250,andy,0.3,zj,0.54,andy,0.3,andy,c= o-f>0.63
251,b22,0.34,b11,0.61,b22,0.34,b19,c= o-f>0.63
252,trump,0.35,trump,0.53,trump,0.35,trump,c= o-f>0.63
253,b12,0.41,b12,0.78,b12,0.41,b12,c= o-f>0.63
254,b26,0.69,b26,0.87,b26,0.69,b26,c= o-f>0.63
255,b26,0.65,b26,0.38,b26,0.65,b26,c= o-f>0.63
256,andy,0.29,lan,0.9,andy,0.29,lan,c= o-f>0.63
257,b22,0.56,b26,0.4,b22,0.56,b15,c= o-f>0.63
258,b18,0.26,b18,0.51,b18,0.26,b18,c= o-f>0.63
259,b15,0.14,b24,0.65,b15,0.14,b24,o-f<0.63
260,b15,0.69,b15,0.97,b15,0.69,b15,c= o-f>0.63
261,b17,0.63,lan,0.25,b17,0.63,b17,c= o-f>0.63
262,b22,0.52,b22,0.89,b22,0.52,b22,c= o-f>0.63
263,b16,0.54,b16,0.97,b16,0.54,b16,c= o-f>0.63
264,b22,0.56,b22,0.38,b22,0.56,b22,c= o-f>0.63
265,b25,0.21,b18,0.27,b25,0.21,b18,o-f<0.63
266,b25,0.78,b25,0.86,b25,0.78,b25,c= o-f>0.63
267,zj,0.8,zj,0.99,zj,0.8,zj,c= o-f>0.63
268,b26,0.63,b15,0.43,b26,0.63,b26,c= o-f>0.63
269,andy,0.57,b26,0.63,andy,0.57,andy,c= o-f>0.63
270,b12,0.39,b12,0.87,b12,0.39,b12,c= o-f>0.63
271,b23,0.34,b17,0.53,b23,0.34,b23,c= o-f>0.63
272,b22,0.67,b22,0.96,b22,0.67,b22,c= o-f>0.63
273,b24,0.44,b24,0.92,b24,0.44,b24,c= o-f>0.63
274,b13,0.47,b13,0.61,b13,0.47,b13,c= o-f>0.63
275,b25,0.43,b25,0.75,b25,0.43,b25,c= o-f>0.63
276,b23,0.25,b11,0.57,b23,0.25,b11,c= o-f>0.63
277,andy,0.12,lan,0.96,andy,0.12,lan,o-f<0.63
278,b22,0.73,b22,0.93,b22,0.73,b22,c= o-f>0.63
279,zj,0.64,zj,0.97,zj,0.64,zj,c= o-f>0.63
280,b22,0.19,lan,0.84,b22,0.19,lan,o-f<0.63
281,b18,0.27,b18,0.52,b18,0.27,b18,c= o-f>0.63
282,b13,0.2,b13,0.85,b13,0.2,b13,o-f<0.63
283,b13,0.24,b13,0.37,b13,0.24,b13,o-f<0.63
284,b22,0.69,b26,0.31,b22,0.69,b15,c= o-f>0.63
285,b20,0.19,b18,0.37,b20,0.19,b20,o-f<0.63
286,trump,0.49,trump,0.98,trump,0.49,trump,c= o-f>0.63
287,b22,0.72,b22,0.95,b22,0.72,b22,c= o-f>0.63
288,b12,0.4,b12,0.64,b12,0.4,b12,c= o-f>0.63
289,b24,0.18,b26,0.34,b24,0.18,b24,o-f<0.63
290,b22,0.82,b22,0.98,b22,0.82,b22,c= o-f>0.63
291,zj,0.67,zj,0.98,zj,0.67,zj,c= o-f>0.63
292,b20,0.44,b16,0.5,b20,0.44,b20,c= o-f>0.63
293,b24,0.24,b18,0.9,b24,0.24,b24,o-f<0.63
294,trump,0.25,trump,0.94,trump,0.25,trump,c= o-f>0.63
295,b17,0.52,b20,0.27,b17,0.52,b17,c= o-f>0.63
296,b21,0.36,b21,0.94,b21,0.36,b21,c= o-f>0.63
297,b16,0.59,b16,0.83,b16,0.59,b16,c= o-f>0.63
298,b22,0.35,b13,0.36,b22,0.35,b13,c= o-f>0.63
299,b23,0.18,b12,0.31,b23,0.18,b18,o-f<0.63
300,b20,0.17,b20,0.9,b20,0.17,b20,o-f<0.63
301,b22,0.39,b15,0.91,b22,0.39,b15,c= o-f>0.63
302,andy,0.45,lan,0.68,andy,0.45,lan,c= o-f>0.63
303,b21,0.46,b21,0.92,b21,0.46,b21,c= o-f>0.63
304,b25,0.16,b20,0.53,b25,0.16,b20,o-f<0.63
305,trump,0.38,trump,0.9,trump,0.38,trump,c= o-f>0.63
306,b21,0.2,b21,0.83,b21,0.2,b21,o-f<0.63
307,b15,0.62,b15,0.92,b15,0.62,b15,c= o-f>0.63
308,b21,0.39,b21,0.99,b21,0.39,b21,c= o-f>0.63
309,b22,0.58,b22,0.97,b22,0.58,b22,c= o-f>0.63
310,b17,0.43,b17,0.88,b17,0.43,b17,c= o-f>0.63
311,b15,0.71,b15,0.87,b15,0.71,b15,c= o-f>0.63
312,andy,0.33,lan,0.86,andy,0.33,lan,c= o-f>0.63
313,b18,0.53,b18,0.64,b18,0.53,b18,c= o-f>0.63
314,b18,0.5,b12,0.37,b18,0.5,b18,c= o-f>0.63
315,b22,0.28,lan,0.48,b22,0.28,lan,c= o-f>0.63
316,b21,0.4,b21,0.96,b21,0.4,b21,c= o-f>0.63
317,b17,0.16,b17,0.65,b17,0.16,b17,o-f<0.63
318,zj,0.36,zj,0.96,zj,0.36,zj,c= o-f>0.63
319,b16,0.34,b16,0.95,b16,0.34,b16,c= o-f>0.63
320,b13,0.52,b13,0.98,b13,0.52,b13,c= o-f>0.63
321,b22,0.71,b22,0.93,b22,0.71,b22,c= o-f>0.63
322,b23,0.53,b21,0.3,b23,0.53,b23,c= o-f>0.63
323,b18,0.33,b18,0.81,b18,0.33,b18,c= o-f>0.63
324,b22,0.66,b22,0.95,b22,0.66,b22,c= o-f>0.63
325,b26,0.68,b20,0.49,b26,0.68,b26,c= o-f>0.63
326,b13,0.42,b13,0.29,b13,0.42,b13,c= o-f>0.63
327,b15,0.66,b15,0.91,b15,0.66,b15,c= o-f>0.63
328,b24,0.39,b18,0.41,b24,0.39,b24,c= o-f>0.63
329,b22,0.6,b22,0.97,b22,0.6,b22,c= o-f>0.63
330,b22,0.73,b22,0.98,b22,0.73,b22,c= o-f>0.63
331,b20,0.62,b20,0.77,b20,0.62,b20,c= o-f>0.63
332,b27,0.53,b27,0.94,b27,0.53,b27,c= o-f>0.63
333,b16,0.51,b16,0.95,b16,0.51,b16,c= o-f>0.63
334,b11,0.24,b11,0.4,b11,0.24,b11,o-f<0.63
335,b17,0.57,b17,0.99,b17,0.57,b17,c= o-f>0.63
336,b18,0.68,b18,0.84,b18,0.68,b18,c= o-f>0.63
337,b16,0.27,b26,0.78,b16,0.27,b16,c= o-f>0.63
338,b22,0.36,b19,0.39,b22,0.36,b20,c= o-f>0.63
339,b19,0.57,b19,0.85,b19,0.57,b19,c= o-f>0.63
340,b21,0.38,b21,0.97,b21,0.38,b21,c= o-f>0.63
341,b22,0.74,b22,0.97,b22,0.74,b22,c= o-f>0.63
342,b12,0.31,b12,0.61,b12,0.31,b12,c= o-f>0.63
343,b18,0.44,b18,0.78,b18,0.44,b18,c= o-f>0.63
344,b27,0.6,b27,0.97,b27,0.6,b27,c= o-f>0.63
345,b22,0.74,b22,0.86,b22,0.74,b22,c= o-f>0.63
346,b17,0.19,b17,0.85,b17,0.19,b17,o-f<0.63
347,b11,0.67,b11,0.9,b11,0.67,b11,c= o-f>0.63
348,b26,0.36,b20,0.52,b26,0.36,b20,c= o-f>0.63
349,b21,0.56,b21,0.83,b21,0.56,b21,c= o-f>0.63
350,zj,0.78,b24,0.5,zj,0.78,zj,c= o-f>0.63
351,b11,0.57,b15,0.22,b11,0.57,b11,c= o-f>0.63
352,b22,0.16,b22,0.76,b22,0.16,andy,o-f<0.63
353,b17,0.63,b17,0.89,b17,0.63,b17,c= o-f>0.63
354,b18,0.71,b18,0.5,b18,0.71,b18,c= o-f>0.63
355,b23,0.67,b23,0.97,b23,0.67,b23,c= o-f>0.63
356,zj,0.79,zj,0.99,zj,0.79,zj,c= o-f>0.63
357,b11,0.33,b11,0.44,b11,0.33,b11,c= o-f>0.63
358,b22,0.71,b22,0.98,b22,0.71,b22,c= o-f>0.63
359,b15,0.61,b15,0.93,b15,0.61,b15,c= o-f>0.63
360,trump,0.45,trump,0.99,trump,0.45,trump,c= o-f>0.63
361,andy,0.37,lan,0.73,andy,0.37,lan,c= o-f>0.63
362,b26,0.27,b16,0.27,b26,0.27,b20,c= o-f>0.63
363,b23,0.7,b23,0.95,b23,0.7,b23,c= o-f>0.63
364,trump,0.39,trump,0.68,trump,0.39,trump,c= o-f>0.63
365,andy,0.31,lan,0.7,andy,0.31,lan,c= o-f>0.63
366,b19,0.57,b19,0.96,b19,0.57,b19,c= o-f>0.63
367,b22,0.79,b24,0.18,b22,0.79,b22,c= o-f>0.63
368,b20,0.54,b20,0.95,b20,0.54,b20,c= o-f>0.63
369,trump,0.24,trump,0.96,trump,0.24,trump,o-f<0.63
370,b23,0.67,b23,0.97,b23,0.67,b23,c= o-f>0.63
371,zj,0.87,zj,0.75,zj,0.87,zj,c= o-f>0.63
372,b16,0.71,b16,0.94,b16,0.71,b16,c= o-f>0.63
373,b24,0.16,b24,0.6,b24,0.16,b24,o-f<0.63
374,b16,0.63,b16,0.92,b16,0.63,b16,c= o-f>0.63
375,b22,0.72,b22,0.81,b22,0.72,b22,c= o-f>0.63
376,b17,0.82,b17,0.97,b17,0.82,b17,c= o-f>0.63
377,b13,0.46,b13,0.87,b13,0.46,b13,c= o-f>0.63
378,b26,0.72,b26,0.51,b26,0.72,b26,c= o-f>0.63
379,b18,0.19,b26,0.27,b18,0.19,b24,o-f<0.63
380,b27,0.43,b27,0.9,b27,0.43,b27,c= o-f>0.63
381,zj,0.75,zj,0.98,zj,0.75,zj,c= o-f>0.63
382,b13,0.51,b13,0.89,b13,0.51,b13,c= o-f>0.63
383,zj,0.66,zj,0.98,zj,0.66,zj,c= o-f>0.63
384,b24,0.41,b24,0.59,b24,0.41,b24,c= o-f>0.63
385,b15,0.59,b15,0.39,b15,0.59,b15,c= o-f>0.63
386,b13,0.47,b16,0.42,b13,0.47,b13,c= o-f>0.63
387,b23,0.67,b23,0.96,b23,0.67,b23,c= o-f>0.63
388,b24,0.34,b24,0.84,b24,0.34,b24,c= o-f>0.63
