id,facenet_id_res,facenet_prob_res,openface_id_res,openface_prob_res,Pred_Result_id,Pred_Result_prob,Actual Result,Update Result
103,b16,0.15,b13,0.23,b13,0.23,b13,o-f<0.63
104,b15,0.3,b15,0.4,b15,0.4,b15,c= o-f>0.63
105,andy,0.25,andy,0.37,andy,0.37,andy,c = f<o
106,trump,0.27,trump,0.25,trump,0.25,trump,o-f<0.63
107,b13,0.29,b13,0.32,b13,0.32,b13,c = f<o
108,lan,0.36,lan,0.34,lan,0.34,lan,c= o-f>0.63
109,lan,0.23,lan,0.37,lan,0.37,lan,c = f<o
110,b16,0.6,b16,0.52,b16,0.52,b16,c= o-f>0.63
111,b11,0.4,b11,0.38,b11,0.38,b11,c= o-f>0.63
112,b13,0.35,b13,0.42,b13,0.42,b13,c= o-f>0.63
113,b15,0.24,b11,0.23,b11,0.23,b15,o-f<0.63
114,lan,0.25,lan,0.16,lan,0.16,lan,o-f<0.63
115,b11,0.21,b17,0.39,b17,0.39,b17,c = f<o
116,trump,0.4,trump,0.43,trump,0.43,trump,c= o-f>0.63
117,b11,0.33,b11,0.36,b11,0.36,b11,c= o-f>0.63
118,b11,0.38,b11,0.43,b11,0.43,b11,c= o-f>0.63
119,trump,0.39,trump,0.38,trump,0.38,trump,c= o-f>0.63
120,b16,0.41,b12,0.17,b12,0.17,b16,c = f>o
121,zj,0.37,zj,0.42,zj,0.42,zj,c= o-f>0.63
122,b11,0.2,b17,0.2,b17,0.2,b17,o-f<0.63
123,b13,0.38,b13,0.5,b13,0.5,b13,c= o-f>0.63
124,lan,0.37,andy,0.3,andy,0.3,lan,c not= o-f>0.63
125,lan,0.3,lan,0.43,lan,0.43,lan,c= o-f>0.63
126,b16,0.18,lan,0.19,lan,0.19,lan,o-f<0.63
127,b15,0.39,b15,0.4,b15,0.4,b15,c= o-f>0.63
128,b11,0.36,b17,0.31,b17,0.31,b11,c not= o-f>0.63
129,andy,0.24,zj,0.29,zj,0.29,zj,o-f<0.63
130,trump,0.42,trump,0.41,trump,0.41,trump,c= o-f>0.63
131,b17,0.27,b17,0.26,b17,0.26,b17,o-f<0.63
132,trump,0.31,trump,0.36,trump,0.36,trump,c= o-f>0.63
133,andy,0.37,zj,0.27,zj,0.27,andy,c = f>o
134,lan,0.39,lan,0.56,lan,0.56,lan,c= o-f>0.63
135,b15,0.35,b15,0.3,b15,0.3,b15,c= o-f>0.63
136,b13,0.39,b13,0.5,b13,0.5,b13,c= o-f>0.63
137,b12,0.17,b17,0.24,b17,0.24,b12,o-f<0.63
138,b13,0.28,b13,0.39,b13,0.39,b13,c = f<o
139,b16,0.57,b16,0.52,b16,0.52,b16,c= o-f>0.63
140,b11,0.37,b11,0.29,b11,0.29,b11,c = f>o
141,andy,0.19,b15,0.21,b15,0.21,lan,o-f<0.63
142,b13,0.27,b13,0.46,b13,0.46,b13,c = f<o
143,b15,0.25,b15,0.33,b15,0.33,b15,c = f<o
144,trump,0.28,trump,0.23,trump,0.23,trump,o-f<0.63
145,b11,0.4,b11,0.35,b11,0.35,b11,c= o-f>0.63
146,andy,0.19,b16,0.33,b16,0.33,b13,c = f<o
147,b15,0.32,b15,0.34,b15,0.34,b15,c= o-f>0.63
148,lan,0.25,lan,0.53,lan,0.53,lan,c = f<o
149,lan,0.35,lan,0.21,lan,0.21,lan,c = f>o
150,b12,0.33,b12,0.4,b12,0.4,b12,c= o-f>0.63
151,andy,0.15,b13,0.17,b13,0.17,b13,o-f<0.63
152,b12,0.27,b12,0.25,b12,0.25,b12,o-f<0.63
153,zj,0.29,zj,0.38,zj,0.38,zj,c = f<o
154,trump,0.26,trump,0.34,trump,0.34,trump,c = f<o
155,zj,0.42,zj,0.35,zj,0.35,zj,c= o-f>0.63
156,zj,0.36,b15,0.28,b15,0.28,zj,c = f>o
157,b17,0.16,b17,0.24,b17,0.24,b17,o-f<0.63
158,trump,0.25,trump,0.36,trump,0.36,trump,c = f<o
159,andy,0.26,andy,0.24,andy,0.24,andy,o-f<0.63
160,b16,0.59,b16,0.51,b16,0.51,b16,c= o-f>0.63
161,b11,0.21,b17,0.32,b17,0.32,b11,c = f<o
162,andy,0.43,lan,0.17,lan,0.17,andy,c = f>o
163,b17,0.35,b17,0.53,b17,0.53,b17,c= o-f>0.63
164,b15,0.32,b15,0.46,b15,0.46,b15,c= o-f>0.63
165,b15,0.3,b15,0.26,b15,0.26,b15,c = f>o
166,b13,0.21,b13,0.21,b13,0.21,b13,o-f<0.63
167,trump,0.34,trump,0.39,trump,0.39,trump,c= o-f>0.63
168,b16,0.41,b16,0.44,b16,0.44,b16,c= o-f>0.63
169,b15,0.32,b16,0.21,b16,0.21,b15,c = f>o
170,andy,0.34,andy,0.29,andy,0.29,andy,c = f>o
171,b16,0.57,b16,0.46,b16,0.46,b16,c= o-f>0.63
172,b13,0.31,lan,0.18,lan,0.18,b13,c = f>o
173,b11,0.34,b11,0.33,b11,0.33,b11,c= o-f>0.63
174,b16,0.4,b16,0.3,b16,0.3,b16,c= o-f>0.63
175,trump,0.34,trump,0.32,trump,0.32,trump,c= o-f>0.63
176,b15,0.37,b15,0.41,b15,0.41,b15,c= o-f>0.63
177,b11,0.44,b11,0.37,b11,0.37,b11,c= o-f>0.63
178,zj,0.39,zj,0.47,zj,0.47,zj,c= o-f>0.63
179,b17,0.28,b17,0.58,b17,0.58,b17,c = f<o
180,b17,0.31,b17,0.45,b17,0.45,b17,c= o-f>0.63
181,zj,0.37,zj,0.21,zj,0.21,zj,c = f>o
182,b17,0.21,b17,0.42,b17,0.42,b17,c = f<o
183,andy,0.17,b17,0.18,b17,0.18,b12,o-f<0.63
184,andy,0.38,andy,0.49,andy,0.49,andy,c= o-f>0.63
185,b16,0.56,b16,0.49,b16,0.49,b16,c= o-f>0.63
186,trump,0.28,trump,0.39,trump,0.39,trump,c = f<o
187,zj,0.41,zj,0.5,zj,0.5,zj,c= o-f>0.63
188,b12,0.2,b12,0.24,b12,0.24,b12,o-f<0.63
189,b15,0.28,b15,0.45,b15,0.45,b15,c = f<o
190,zj,0.38,zj,0.42,zj,0.42,zj,c= o-f>0.63
191,andy,0.31,andy,0.59,andy,0.59,andy,c= o-f>0.63
192,zj,0.33,zj,0.29,zj,0.29,zj,c = f>o
193,b16,0.54,b16,0.4,b16,0.4,b16,c= o-f>0.63
194,b17,0.29,b17,0.49,b17,0.49,b17,c = f<o
195,b11,0.41,b11,0.38,b11,0.38,b11,c= o-f>0.63
196,b12,0.26,b12,0.35,b12,0.35,b12,c = f<o
197,zj,0.43,zj,0.26,zj,0.26,zj,c = f>o
198,b16,0.35,b16,0.21,b16,0.21,b16,c = f>o
199,b16,0.57,b16,0.34,b16,0.34,b16,c= o-f>0.63
200,b15,0.31,b15,0.37,b15,0.37,b15,c= o-f>0.63
201,zj,0.36,b15,0.18,b15,0.18,zj,c = f>o
202,b11,0.42,b11,0.41,b11,0.41,b11,c= o-f>0.63
203,b13,0.32,b13,0.25,b13,0.25,b13,c = f>o
204,b17,0.19,b17,0.27,b17,0.27,b17,o-f<0.63
205,b15,0.31,b15,0.38,b15,0.38,b15,c= o-f>0.63
206,b16,0.38,b16,0.17,b16,0.17,b16,c = f>o
207,andy,0.39,lan,0.19,lan,0.19,andy,c = f>o
208,trump,0.23,trump,0.42,trump,0.42,trump,c = f<o
209,b16,0.19,trump,0.34,trump,0.34,trump,c = f<o
210,b15,0.34,b16,0.16,b16,0.16,b15,c = f>o
211,trump,0.39,trump,0.34,trump,0.34,trump,c= o-f>0.63
212,b16,0.36,b16,0.23,b16,0.23,b16,c = f>o
213,b17,0.26,b17,0.48,b17,0.48,b17,c = f<o
214,trump,0.36,trump,0.27,trump,0.27,trump,c = f>o
215,b13,0.2,b13,0.34,b13,0.34,b13,c = f<o
216,b17,0.19,b17,0.54,b17,0.54,b17,c = f<o
217,b15,0.23,b16,0.25,b16,0.25,b15,o-f<0.63
218,zj,0.36,zj,0.31,zj,0.31,zj,c= o-f>0.63
219,b16,0.5,b16,0.39,b16,0.39,b16,c= o-f>0.63
220,b17,0.27,b17,0.37,b17,0.37,b17,c = f<o
221,b16,0.5,b16,0.37,b16,0.37,b16,c= o-f>0.63
222,trump,0.37,trump,0.51,trump,0.51,trump,c= o-f>0.63
223,b17,0.34,b17,0.49,b17,0.49,b17,c= o-f>0.63
224,b17,0.33,b17,0.55,b17,0.55,b17,c= o-f>0.63
225,andy,0.42,andy,0.49,andy,0.49,andy,c= o-f>0.63
226,b12,0.19,b17,0.24,b17,0.24,b12,o-f<0.63
227,b12,0.2,b12,0.32,b12,0.32,b12,c = f<o
228,b13,0.37,b13,0.48,b13,0.48,b13,c= o-f>0.63
229,trump,0.36,trump,0.38,trump,0.38,trump,c= o-f>0.63
230,lan,0.31,lan,0.4,lan,0.4,lan,c= o-f>0.63
231,b11,0.35,b11,0.43,b11,0.43,b11,c= o-f>0.63
232,lan,0.29,lan,0.42,lan,0.42,lan,c = f<o
233,b17,0.28,b17,0.49,b17,0.49,b17,c = f<o
234,b13,0.3,b17,0.15,b17,0.15,b13,c = f>o
235,b16,0.44,b16,0.23,b16,0.23,b16,c = f>o
236,b17,0.3,b17,0.5,b17,0.5,b17,c= o-f>0.63
237,b12,0.29,b12,0.36,b12,0.36,b12,c = f<o
238,andy,0.27,trump,0.16,trump,0.16,lan,o-f<0.63
239,b13,0.3,b13,0.43,b13,0.43,b13,c= o-f>0.63
240,trump,0.36,trump,0.22,trump,0.22,trump,c = f>o
241,b16,0.46,b16,0.39,b16,0.39,b16,c= o-f>0.63
242,b13,0.25,b13,0.22,b13,0.22,b13,o-f<0.63
243,zj,0.45,zj,0.32,zj,0.32,zj,c= o-f>0.63
244,b16,0.18,b17,0.3,b17,0.3,b17,c = f<o
245,b12,0.27,b12,0.25,b12,0.25,b12,o-f<0.63
246,b16,0.56,b16,0.43,b16,0.43,b16,c= o-f>0.63
247,b12,0.27,b12,0.23,b12,0.23,b12,o-f<0.63
248,b15,0.2,b17,0.2,b17,0.2,b15,o-f<0.63
249,b11,0.36,b11,0.34,b11,0.34,b11,c= o-f>0.63
250,b11,0.36,b11,0.39,b11,0.39,b11,c= o-f>0.63
251,b15,0.39,b15,0.4,b15,0.4,b15,c= o-f>0.63
252,b17,0.19,b17,0.38,b17,0.38,b17,c = f<o
253,b15,0.23,b15,0.3,b15,0.3,b15,c = f<o
254,b11,0.31,b17,0.18,b17,0.18,b11,c = f>o
255,b12,0.32,b12,0.4,b12,0.4,b12,c= o-f>0.63
256,b15,0.36,b15,0.42,b15,0.42,b15,c= o-f>0.63
257,b17,0.33,b17,0.53,b17,0.53,b17,c= o-f>0.63
258,b17,0.27,b17,0.48,b17,0.48,b17,c = f<o
259,lan,0.22,lan,0.21,lan,0.21,lan,o-f<0.63
260,b12,0.33,b12,0.21,b12,0.21,b12,c = f>o
261,b11,0.16,zj,0.24,zj,0.24,b17,o-f<0.63
262,b12,0.36,b12,0.39,b12,0.39,b12,c= o-f>0.63
263,andy,0.16,andy,0.4,andy,0.4,zj,c = f<o
264,b15,0.32,lan,0.18,lan,0.18,b15,c = f>o
265,andy,0.27,andy,0.28,andy,0.28,andy,o-f<0.63
266,b16,0.56,b16,0.47,b16,0.47,b16,c= o-f>0.63
267,b16,0.46,b16,0.25,b16,0.25,b16,c = f>o
268,trump,0.34,trump,0.43,trump,0.43,trump,c= o-f>0.63
269,trump,0.32,trump,0.34,trump,0.34,trump,c= o-f>0.63
270,trump,0.27,trump,0.3,trump,0.3,trump,c = f<o
271,trump,0.27,trump,0.26,trump,0.26,trump,o-f<0.63
272,b12,0.2,b17,0.3,b17,0.3,b12,c = f<o
273,b13,0.37,b13,0.5,b13,0.5,b13,c= o-f>0.63
274,b17,0.21,b17,0.47,b17,0.47,b17,c = f<o
275,trump,0.41,trump,0.41,trump,0.41,trump,c= o-f>0.63
276,b15,0.37,b15,0.34,b15,0.34,b15,c= o-f>0.63
277,b11,0.41,b17,0.3,b17,0.3,b11,c not= o-f>0.63
278,b12,0.17,b17,0.19,b17,0.19,b12,o-f<0.63
279,trump,0.26,lan,0.24,lan,0.24,trump,o-f<0.63
280,b16,0.58,b16,0.46,b16,0.46,b16,c= o-f>0.63
281,b11,0.28,b17,0.38,b17,0.38,b11,c = f<o
282,b11,0.4,b11,0.36,b11,0.36,b11,c= o-f>0.63
283,lan,0.33,lan,0.29,lan,0.29,lan,c = f>o
284,b15,0.33,b15,0.41,b15,0.41,b15,c= o-f>0.63
285,b16,0.59,b16,0.48,b16,0.48,b16,c= o-f>0.63
286,b17,0.18,b17,0.34,b17,0.34,b17,c = f<o
287,b15,0.34,trump,0.22,trump,0.22,b15,c = f>o
288,zj,0.25,zj,0.47,zj,0.47,zj,c = f<o
289,b11,0.34,b11,0.3,b11,0.3,b11,c= o-f>0.63
290,b17,0.29,b17,0.51,b17,0.51,b17,c = f<o
291,andy,0.19,b16,0.18,b16,0.18,b15,o-f<0.63
292,lan,0.23,lan,0.51,lan,0.51,lan,c = f<o
293,b12,0.25,b12,0.35,b12,0.35,b12,c = f<o
294,b17,0.3,b17,0.41,b17,0.41,b17,c= o-f>0.63
295,trump,0.31,trump,0.43,trump,0.43,trump,c= o-f>0.63
296,trump,0.35,trump,0.49,trump,0.49,trump,c= o-f>0.63
297,lan,0.25,b15,0.24,b15,0.24,lan,o-f<0.63
298,andy,0.25,lan,0.31,lan,0.31,lan,c = f<o
299,lan,0.24,zj,0.18,zj,0.18,zj,o-f<0.63
300,b16,0.51,b16,0.47,b16,0.47,b16,c= o-f>0.63
301,b11,0.39,b11,0.39,b11,0.39,b11,c= o-f>0.63
302,b12,0.28,b12,0.39,b12,0.39,b12,c = f<o
303,b16,0.18,b16,0.26,b16,0.26,b15,o-f<0.63
304,andy,0.35,lan,0.14,lan,0.14,andy,c = f>o
305,b16,0.19,b16,0.2,b16,0.2,b16,o-f<0.63
306,trump,0.28,trump,0.34,trump,0.34,trump,c = f<o
307,zj,0.44,zj,0.34,zj,0.34,zj,c= o-f>0.63
308,andy,0.24,andy,0.33,andy,0.33,lan,c = f<o
309,andy,0.17,b16,0.19,b16,0.19,b17,o-f<0.63
310,b11,0.3,b17,0.19,b17,0.19,b11,c = f>o
311,b12,0.2,b17,0.26,b17,0.26,b12,o-f<0.63
312,b16,0.58,b16,0.43,b16,0.43,b16,c= o-f>0.63
313,b16,0.3,b16,0.28,b16,0.28,b16,c = f>o
314,b13,0.4,b13,0.48,b13,0.48,b13,c= o-f>0.63
315,trump,0.42,trump,0.43,trump,0.43,trump,c= o-f>0.63
316,b17,0.24,b17,0.4,b17,0.4,b17,c = f<o
317,trump,0.34,b15,0.22,b15,0.22,trump,c = f>o
318,b12,0.28,b12,0.35,b12,0.35,b12,c = f<o
319,b13,0.27,b16,0.2,b16,0.2,b13,o-f<0.63
320,b16,0.6,b16,0.54,b16,0.54,b16,c= o-f>0.63
321,b11,0.15,b17,0.32,b17,0.32,b17,c = f<o
322,b11,0.22,b11,0.28,b11,0.28,b11,o-f<0.63
323,trump,0.3,trump,0.36,trump,0.36,trump,c= o-f>0.63
324,b12,0.3,b12,0.37,b12,0.37,b12,c= o-f>0.63
325,b16,0.54,b16,0.27,b16,0.27,b16,c = f>o
326,lan,0.26,lan,0.23,lan,0.23,lan,o-f<0.63
327,trump,0.36,trump,0.33,trump,0.33,trump,c= o-f>0.63
328,andy,0.23,lan,0.5,lan,0.5,lan,c = f<o
329,b13,0.4,b13,0.45,b13,0.45,b13,c= o-f>0.63
330,b16,0.53,b16,0.55,b16,0.55,b16,c= o-f>0.63
331,andy,0.48,andy,0.33,andy,0.33,andy,c= o-f>0.63
332,b15,0.29,b15,0.46,b15,0.46,b15,c = f<o
333,trump,0.31,trump,0.35,trump,0.35,trump,c= o-f>0.63
334,b16,0.33,b17,0.27,b17,0.27,b11,c = f>o
335,andy,0.43,b16,0.2,b16,0.2,andy,c = f>o
336,b12,0.31,b12,0.35,b12,0.35,b12,c= o-f>0.63
337,b11,0.36,b17,0.29,b17,0.29,b11,c = f>o
338,b17,0.18,b17,0.27,b17,0.27,b17,o-f<0.63
339,b12,0.2,b17,0.3,b17,0.3,b12,c = f<o
340,b12,0.31,b12,0.35,b12,0.35,b12,c= o-f>0.63
341,zj,0.46,zj,0.42,zj,0.42,zj,c= o-f>0.63
342,b12,0.24,b12,0.36,b12,0.36,b12,c = f<o
343,b13,0.27,b13,0.32,b13,0.32,b13,c = f<o
344,andy,0.38,andy,0.42,andy,0.42,andy,c= o-f>0.63
345,b17,0.24,b17,0.24,b17,0.24,b17,o-f<0.63
346,b12,0.3,b12,0.34,b12,0.34,b12,c= o-f>0.63
347,b15,0.33,b15,0.28,b15,0.28,b15,c = f>o
348,zj,0.35,zj,0.35,zj,0.35,zj,c= o-f>0.63
349,b15,0.32,b15,0.3,b15,0.3,b15,c= o-f>0.63
350,andy,0.29,lan,0.17,lan,0.17,andy,o-f<0.63
351,trump,0.37,b16,0.25,b16,0.25,trump,c = f>o
352,lan,0.31,lan,0.33,lan,0.33,lan,c= o-f>0.63
353,b16,0.27,b17,0.19,b17,0.19,b15,o-f<0.63
354,lan,0.31,lan,0.4,lan,0.4,lan,c= o-f>0.63
355,b13,0.26,b13,0.38,b13,0.38,b13,c = f<o
356,trump,0.39,trump,0.27,trump,0.27,trump,c = f>o
357,trump,0.32,trump,0.4,trump,0.4,trump,c= o-f>0.63
358,b16,0.46,zj,0.18,zj,0.18,b16,c = f>o
359,b17,0.2,b17,0.49,b17,0.49,b17,c = f<o
360,b17,0.28,b17,0.5,b17,0.5,b17,c = f<o
361,b12,0.29,b12,0.39,b12,0.39,b12,c = f<o
362,b13,0.24,b13,0.39,b13,0.39,b13,c = f<o
363,b12,0.28,b12,0.22,b12,0.22,b12,o-f<0.63
364,b11,0.42,b11,0.4,b11,0.4,b11,c= o-f>0.63
365,trump,0.25,trump,0.39,trump,0.39,trump,c = f<o
366,zj,0.49,zj,0.45,zj,0.45,zj,c= o-f>0.63
367,b15,0.31,b15,0.41,b15,0.41,b15,c= o-f>0.63
368,b16,0.42,b16,0.48,b16,0.48,b16,c= o-f>0.63
369,b17,0.28,b17,0.49,b17,0.49,b17,c = f<o
370,b13,0.39,b13,0.46,b13,0.46,b13,c= o-f>0.63
371,b13,0.36,b13,0.45,b13,0.45,b13,c= o-f>0.63
372,b13,0.36,b13,0.41,b13,0.41,b13,c= o-f>0.63
373,andy,0.17,b17,0.29,b17,0.29,b17,o-f<0.63
374,lan,0.28,lan,0.41,lan,0.41,lan,c = f<o
375,b13,0.39,b13,0.46,b13,0.46,b13,c= o-f>0.63
376,b15,0.26,b15,0.36,b15,0.36,b15,c = f<o
377,trump,0.35,trump,0.49,trump,0.49,trump,c= o-f>0.63
378,b15,0.33,b15,0.43,b15,0.43,b15,c= o-f>0.63
379,b12,0.19,b12,0.19,b12,0.19,b12,o-f<0.63
380,zj,0.26,zj,0.45,zj,0.45,zj,c = f<o
381,lan,0.39,lan,0.34,lan,0.34,lan,c= o-f>0.63
382,b16,0.5,b16,0.33,b16,0.33,b16,c= o-f>0.63
383,b11,0.32,b17,0.26,b17,0.26,b11,c = f>o
384,b12,0.25,b12,0.29,b12,0.29,b12,o-f<0.63
385,b16,0.45,b16,0.43,b16,0.43,b16,c= o-f>0.63
386,b12,0.25,b17,0.2,b17,0.2,b12,o-f<0.63
387,b17,0.24,b17,0.3,b17,0.3,b17,c = f<o
388,b15,0.32,b15,0.44,b15,0.44,b15,c= o-f>0.63
389,andy,0.3,andy,0.48,andy,0.48,andy,c= o-f>0.63
390,b13,0.34,b16,0.2,b16,0.2,b13,c = f>o
391,b16,0.54,b16,0.44,b16,0.44,b16,c= o-f>0.63
392,b11,0.3,b16,0.19,b16,0.19,b11,c = f>o
393,b17,0.17,zj,0.2,zj,0.2,b17,o-f<0.63
394,b15,0.34,b16,0.21,b16,0.21,b15,c = f>o
395,b17,0.29,b17,0.48,b17,0.48,b17,c = f<o
396,b16,0.46,b16,0.28,b16,0.28,b16,c = f>o
397,b16,0.48,b17,0.2,b17,0.2,b16,c = f>o
398,b13,0.35,b15,0.3,b15,0.3,b13,c not= o-f>0.63
399,b13,0.32,b13,0.44,b13,0.44,b13,c= o-f>0.63
400,b13,0.41,b13,0.43,b13,0.43,b13,c= o-f>0.63
401,b13,0.43,andy,0.26,andy,0.26,b13,c = f>o
402,b17,0.33,b17,0.48,b17,0.48,b17,c= o-f>0.63
403,andy,0.15,b11,0.24,b11,0.24,b15,o-f<0.63
404,andy,0.17,b17,0.31,b17,0.31,b12,c = f<o
405,b16,0.19,b16,0.19,b16,0.19,b15,o-f<0.63
406,b11,0.26,b11,0.33,b11,0.33,b11,c = f<o
